Date,Close,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11
2022-07-18 04:00:00,812.75,12.947017355855678,-175.72786583149121,28.66052993056356,95.47233296947071,-73.541645471875,-23.730412647005547,-31.593983957365264,113.51559438582176,211.22959181474465,-78.93758443267049,701.1219222515361
2022-07-19 04:00:00,812.25,162.46947035927437,-228.81707331637554,46.9656690977938,65.29813995926426,-77.6332614179677,-27.627109870173747,-34.1151218017637,112.14413529257452,211.52591923327742,-78.94909063378098,701.1464182542272
2022-07-20 04:00:00,819.5,-98.74082026217009,-19.233080258356217,39.23571695008957,27.179063179817074,-81.24742134874283,-31.428633764440303,-36.57296868409207,110.75914609315467,211.82091581590697,-78.96056565206052,701.1708875856095
2022-07-21 04:00:00,806.25,61.234559266203995,193.91014264863782,15.259887353597927,-14.33090988770078,-84.35875156218032,-35.114353284642945,-38.9634445212822,109.36081926569071,212.11458389148,-78.97200952202427,701.1953302367333
2022-07-22 04:00:00,759.0,-58.43709806176198,222.0926701348034,-10.214751271273654,-54.28886373344957,-86.94187835626144,-38.66363738561917,-41.28246923026605,107.94934728831166,212.40692578884313,-78.98342227818601,701.2197461986457
2022-07-25 04:00:00,770.0,83.82409074179189,-28.327607503127524,-24.146255892878244,-87.75188284759112,-88.97142802896525,-42.05585502220655,-43.52596272797612,106.52492263914607,212.69794383684263,-78.9948039550605,701.2441354623954
2022-07-26 04:00:00,803.75,-122.33409272013162,-197.2430180836103,-21.589273889512768,-109.78835636591432,-90.42202687827313,-45.270375149242234,-45.689844931344425,105.08773779632274,212.98764036432476,-79.00615458716213,701.268498019031
2022-07-27 04:00:00,790.25,160.4916116921207,-12.085083354357542,-3.4044485924335603,-116.58772942728908,-91.26830120216412,-48.28656672156514,-47.770035757302686,103.6379852379705,213.27601770013652,-79.01747420900509,701.2928338595989
2022-07-28 04:00:00,817.0,-191.6379272661005,156.60165350388417,14.347744459778616,-108.66895975459833,-91.47001904249984,-51.08379869401128,-49.762455122783656,102.17585744221795,213.56307817312467,-79.02876285510449,701.317142975149
2022-07-29 04:00:00,807.75,214.86123352823424,92.99193786272548,15.945416044105349,-87.68627551576925,-90.92651486611906,-53.64244057196279,-51.66302294471884,100.70154688719389,213.848824112135,-79.04002055997395,701.3414253567281
2022-08-01 04:00:00,800.25,228.06406118172376,-28.420428570485406,2.5771283146199115,-55.65373239673717,-89.51750988927819,-55.94761685526394,-53.467659140040496,99.21524605102677,214.1332578460146,-79.05124735812845,701.3656809953859
2022-08-02 04:00:00,774.75,-176.72430893884808,-92.91366377638063,-18.611374870410312,-16.401197258831136,-87.11841948113967,-57.98875789085364,-55.172283625680414,97.71714741184543,214.41638170361017,-79.06244328408235,701.3899098821691
2022-08-03 04:00:00,763.75,-191.09969995993148,-55.88690206896914,-38.033766987303395,24.390718251963264,-83.60272970900904,-59.75722332752706,-56.77281631857112,96.20744344777906,214.6981980137676,-79.07360837235039,701.4141120081272
2022-08-04 04:00:00,782.5,-218.57624032892363,30.122232514942645,-44.40218916411902,61.69922166443506,-78.84110560085658,-61.24719385341425,-58.26517713564476,94.68632663695581,214.97870910533416,-79.08474265744647,701.4382873643067
2022-08-05 04:00:00,775.75,199.32440239251093,80.8978703938535,-26.72869315715672,91.39126901637181,-72.6941045368876,-62.46295780441178,-59.64528599383291,93.15398945750468,215.25791730715582,-79.09584617388502,701.4624359417575
2022-08-08 04:00:00,779.75,-121.95662689494745,18.6870264611863,18.502986777258382,109.81232620344865,-65.01975698536498,-63.41133042835675,-60.90906281006825,91.61062438755442,215.53582494807955,-79.10691895618126,701.4865577315268
2022-08-09 04:00:00,781.5,-150.84266595349314,-89.6688624911845,67.31905745619886,113.39200924875061,-55.67609341455183,-64.09912697308741,-62.052427501282544,90.05642390523354,215.81243435695166,-79.11796103884906,701.510652724663
2022-08-10 04:00:00,799.75,-113.33004921669678,-137.55359827568094,91.0196801320142,98.66956299616413,-44.63077311351173,-64.53316268644197,-63.07129998440753,88.49158048867072,216.08774786261887,-79.12897245640282,701.5347209122142
2022-08-11 04:00:00,810.75,66.4906561825869,-43.66417456956516,69.71422564445017,64.62739215219895,-32.2899706545121,-64.72025281625756,-63.96160017637597,86.91628661599523,216.36176779392727,-79.13995324335698,701.5587622852289
2022-08-12 04:00:00,806.0,125.8966888763575,117.87037766754538,16.48177610542232,18.37610856184557,-19.169489430619915,-64.66636422190405,-64.72009638258753,85.33073476533521,216.6344964797237,-79.15090343422638,701.5827768347549
2022-08-15 04:00:00,800.75,-146.22461767726148,198.62073879449184,-48.22783246330554,-30.969031350484,-5.785132834902815,-64.37407020887825,-65.34695046231604,83.73511741481973,216.90593624885508,-79.16182306352496,701.6067645518398
2022-08-16 04:00:00,786.0,67.7754550748534,22.8627163070389,-103.4565000685182,-74.2927711603784,7.3472957395715355,-63.84509569420787,-65.84317266330319,82.12962704257741,217.1760894301677,-79.17271216576802,701.630725427533
2022-08-17 04:00:00,763.25,208.05064022839127,-191.357994716253,-113.1379622082773,-102.47985444342609,19.7119928997357,-63.08116559492189,-66.20977323328977,80.51445612673712,217.4449583525074,-79.18357077546882,701.6546594528822
2022-08-18 04:00:00,731.5,-221.80865253371525,-192.40603918510442,-52.2633021443461,-108.39817394198869,30.827881730266416,-62.0840048280485,-66.44776242001741,78.88979714542685,217.71254534472186,-79.19439892714266,701.6785666189351
2022-08-19 04:00:00,753.25,207.67345874351835,40.44300658166436,40.55442369241463,-92.85187081545519,40.35644297675313,-60.85533831061623,-66.55815047122793,77.25584257677632,217.97885273565686,-79.20519665530408,701.7024469167404
2022-08-22 04:00:00,770.5,-165.81399724352514,96.09226604994791,97.99887671375588,-58.64284238972961,48.00849086227173,-59.39646383195757,-66.54237476235858,75.61278489891373,218.2438828541593,-79.21596399446678,701.726300337346
2022-08-23 04:00:00,782.75,-92.83249380357255,17.507001482697323,69.72875923381775,-10.260809113174385,53.49849135983345,-57.706970670621935,-66.40358117962934,73.96081658996789,218.5076380290756,-79.22670097914607,701.7501268718001
2022-08-24 04:00:00,795.0,60.04525986395491,-30.850164312889433,-12.701158243381341,40.7228932848897,56.54091044245107,-55.786020977463316,-66.14534273695668,72.30013012806741,218.77012058925234,-79.23740764385569,701.7739265111504
2022-08-25 04:00:00,769.75,-34.61741359728724,23.025528092107336,-81.05711177355722,79.67303853914139,56.85021408313562,-53.63277690333554,-65.77123675570985,70.63092229879452,219.03133286353628,-79.24808402311058,701.7976992464462
2022-08-26 04:00:00,784.75,41.857537888570924,-40.492967891259354,-48.051067514836966,95.06347273362007,54.1431145120449,-51.248646856238565,-65.28485778707024,68.95340711754359,219.29127718077333,-79.25873015142481,701.8214450687342
